Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,2450,378,60554.8,75946.7,2006.4,2006.9,2006.9,2006.9,990.1,1154.5,1081.6,1083.2,87.0,110.8,119.2,119.2,28.0,53.8,45.8,45.7,11310.6,872444.8,889195.7,67055495.8,225851387.8,252202061.4,27369.6,97234.0,115107.7
Bulk carrier,2125,1340,143502.8,256294.9,2008.9,2009.2,2009.8,2009.8,1546.5,2134.3,2171.8,2188.8,144.0,224.2,382.2,387.1,120.0,151.2,164.1,163.1,11974.3,926443.6,944231.3,82290718.7,190340539.5,236670108.9,38725.0,139611.5,168028.0
General cargo,1363,550,18600.4,25804.7,2004.1,2005.1,2005.7,2005.8,1615.3,1805.0,1818.6,1813.9,160.0,201.1,254.8,253.0,76.0,121.1,126.7,123.6,3757.7,288038.2,293568.5,25650718.3,79082057.6,111427270.7,18819.3,82171.2,107158.5
Chemical tanker,889,466,20494.3,33654.2,2008.6,2009.2,2009.7,2009.8,1434.7,1675.5,1781.3,1788.2,125.0,152.8,327.9,333.1,27.0,39.1,77.7,79.1,3778.2,290921.9,296507.6,19031370.6,74277841.2,88105553.8,21407.6,95041.5,115617.6
Refrigerated bulk,513,68,9962.6,10705.1,1995.5,1992.3,1996.8,1996.5,1956.7,2625.7,2423.8,2443.4,116.0,348.9,233.7,244.4,55.0,363.6,141.7,152.3,5037.9,383895.9,391266.7,31758203.7,69393217.3,78164933.1,61906.8,131922.8,142436.9
Liquefied gas tanker,376,147,12445.2,12513.9,2007.2,2006.8,2007.4,2007.5,1359.6,1896.7,2548.7,2461.4,111.5,151.4,293.3,284.6,27.0,64.7,149.2,134.7,1967.4,143483.8,146238.6,4131711.7,22820494.8,20346191.5,10988.6,82681.6,122356.5
Vehicle,342,114,17437.4,5762.0,2005.2,2006.5,2006.9,2006.7,1358.8,1478.8,1455.1,1471.8,88.5,100.1,121.1,122.8,26.0,26.9,30.5,31.1,1411.3,109022.4,111115.6,5834802.6,25725223.4,29792430.5,17060.8,64848.2,69790.9
Oil tanker,284,174,35759.5,66268.7,2005.5,2008.3,2007.4,2007.3,1436.1,2419.1,3336.4,3435.3,132.5,220.5,374.5,379.8,42.0,95.7,92.5,92.6,3404.0,263307.8,268363.3,27087276.2,51325518.0,56799525.7,95377.7,261170.7,320297.5
Service - tug,109,63,110.4,91.9,2008.0,2006.7,2005.2,2005.3,810.9,1531.3,1652.1,1632.1,189.0,468.8,727.0,666.7,45.0,203.4,101.5,86.8,129.1,9723.5,9910.2,2351655.2,5560956.6,7445820.3,21574.8,55710.1,75218.0
Cruise,98,36,5325.1,582.3,2001.0,1999.6,2003.6,2003.0,676.4,1005.6,766.6,779.7,42.0,91.9,61.2,64.3,9.0,52.9,16.0,18.1,1270.6,98281.8,100168.8,2596994.2,11383378.6,12488344.7,26499.9,103228.5,106516.1
Ro-Ro,55,8,590.7,325.2,1994.1,1997.8,1994.1,1994.4,747.2,812.9,910.7,999.6,61.0,72.9,117.2,123.4,15.0,23.5,33.8,47.1,126.3,9736.2,9923.1,636791.0,3570780.0,1976821.2,11578.0,27881.7,36197.0
Service - other,52,29,661.6,339.0,2001.9,1999.5,2000.1,1998.7,1299.1,2258.2,2644.3,2551.8,142.5,291.9,510.8,511.4,63.0,162.0,110.8,121.4,213.8,16258.5,16570.6,2365690.0,4853876.5,5230345.9,45494.0,101231.9,114305.1
Miscellaneous - fishing,19,16,105.7,93.2,1999.6,1999.8,2003.7,2005.2,1796.4,4062.9,3384.1,4444.3,249.0,599.8,1052.9,1355.0,106.0,125.2,151.4,126.6,37.7,2834.4,2888.8,655712.4,1454496.5,1653615.3,34511.2,81220.5,96281.9
Ferry-RoPax,11,7,21.7,8.2,2002.8,2008.1,2005.7,2003.8,800.9,1107.0,731.0,558.9,50.0,74.4,94.2,81.9,100.0,1046.1,1665.7,1170.7,51.5,3864.9,3939.1,98858.2,226279.8,290685.8,8987.1,19707.1,24083.4
Ferry-pax only,4,3,3.0,2.8,2004.0,2008.7,2012.9,2012.4,966.2,1490.7,1049.2,1003.6,54.5,79.0,82.0,81.2,324.5,1293.2,1828.2,1791.0,7.2,537.1,547.4,229862.7,468136.9,589707.8,57465.7,133633.7,176173.4
