Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,14057,529,13331.0,21860.9,2007.3,2006.5,2006.4,2006.3,50.6,386.3,195.9,197.3,33.0,137.9,374.8,376.6,10.0,52.4,128.8,129.9,12341.4,937498.0,955498.0,31118331.8,34320728.5,38674830.8,2213.7,6232.2,7869.1
Service - tug,8155,281,609.6,459.5,2008.7,2009.2,2009.0,2008.4,75.2,290.7,186.7,224.4,31.0,214.7,510.6,603.0,10.0,129.7,419.3,508.1,1275.9,95907.5,97748.9,11752385.5,27790853.8,37210451.2,1441.1,3721.2,5024.3
Chemical tanker,1133,442,6126.4,9791.9,2008.8,2008.9,2008.7,2008.7,60.9,370.3,444.1,444.9,62.0,100.5,325.7,325.4,29.0,47.4,148.5,149.3,3017.0,230071.9,234489.3,7309493.2,25940442.7,31307546.7,6451.5,25804.2,31712.1
Other liquids tankers,882,8,41.7,53.3,2011.3,2008.4,2010.3,2009.9,46.0,114.2,105.9,101.0,20.0,100.8,352.6,333.9,6.0,18.8,58.5,59.7,842.4,63267.6,64482.4,27362.6,78128.4,168444.9,31.0,107.5,173.7
Service - other,839,68,1242.2,1843.6,2010.0,2008.2,2006.9,2007.0,178.9,473.9,400.5,399.8,48.0,190.2,261.7,266.9,28.0,213.1,931.5,1007.7,581.6,43947.8,44791.6,12865132.2,26396426.9,28443748.5,15333.9,34120.5,38526.9
Container,377,145,3267.1,3991.9,2003.0,2004.0,2005.3,2005.0,64.2,682.6,387.2,382.9,47.0,246.8,372.9,376.5,19.0,75.7,109.5,109.2,1381.3,105609.6,107637.3,3512978.1,12219922.4,13738702.6,9318.2,34535.7,41198.4
Ferry-pax only,288,54,130.0,68.8,2004.6,2002.4,2001.4,2003.5,433.1,1369.6,1466.7,2431.6,32.5,141.2,1032.1,990.6,15.0,50.5,174.1,218.5,191.2,14360.2,14635.9,5597228.4,11425254.7,14395632.9,19434.8,45248.5,59654.0
General cargo,228,77,462.2,592.3,2002.5,2003.1,2006.5,2007.0,118.9,511.4,460.9,448.8,51.0,247.7,1175.7,1067.0,10.0,93.3,275.0,303.4,168.2,12742.0,12986.6,1017885.9,2998558.8,4237641.1,4464.4,16830.2,22617.9
Bulk carrier,172,55,2575.9,4332.7,2009.4,2007.6,2009.3,2009.3,118.7,913.8,698.3,687.0,55.0,266.4,691.5,683.0,19.5,157.7,239.4,251.7,341.4,26234.3,26738.0,1669785.0,3913851.4,5189118.7,9708.1,36868.6,45028.3
Ro-Ro,120,12,38.4,54.3,2007.6,2010.0,2007.3,2006.3,172.4,416.7,292.0,314.5,57.5,416.2,767.1,831.3,10.0,121.3,59.2,56.6,323.6,24297.4,24763.9,197042.7,1519123.9,716860.4,1642.0,4007.2,5712.5
Liquefied gas tanker,76,56,4179.4,3486.5,2005.8,2007.4,2009.8,2009.8,202.5,984.9,1337.5,1249.4,249.0,350.3,1090.6,1110.0,46.5,109.9,49.6,49.4,994.3,73175.5,74580.4,1055350.9,6289856.8,5426464.5,13886.2,99771.2,147855.1
Miscellaneous - fishing,11,1,23.1,10.2,2018.0,2018.0,2018.0,2018.0,545.7,545.7,753.0,753.0,44.0,44.0,120.4,120.4,7.0,7.0,18.1,18.1,6.7,503.1,512.8,71644.7,158921.8,180678.0,6513.2,15328.4,18170.9
Vehicle,6,5,13.6,6.7,2006.7,2005.8,2009.3,2009.9,28.4,29.2,36.4,41.5,20.0,18.3,21.4,22.0,16.5,35.5,98.1,114.3,4.5,349.0,355.7,6764.5,29824.4,34539.7,1127.4,4285.3,4612.0
Cruise,3,2,108.1,13.5,2007.3,2003.0,2010.4,2006.6,354.3,642.3,332.9,379.8,44.0,67.0,52.9,60.3,6.0,257.2,114.4,187.3,40.2,3114.4,3174.2,8019.7,199497.2,278952.6,2673.2,57004.2,74750.3
Refrigerated bulk,2,2,0.1,0.1,1979.5,1979.5,1979.9,1979.8,37.0,37.0,44.2,37.3,38.5,38.5,35.7,36.2,203.5,203.5,358.8,330.2,6.7,504.2,513.9,443.3,968.6,1091.1,221.7,472.3,510.0
Ferry-RoPax,2,2,2.4,2.0,2002.0,2002.0,2000.7,2001.3,3038.4,3038.4,2925.1,2843.9,2749.5,2749.5,3222.8,3007.2,949.5,949.5,1129.5,1047.5,31.3,2347.1,2392.2,67931.2,146965.5,195398.6,33965.6,75828.9,108061.1
