Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,2874,546,257340.1,284993.3,2006.4,2007.0,2011.8,2011.5,891.0,1654.8,2008.3,1952.0,75.0,121.4,247.1,241.7,17.0,21.6,18.7,18.8,26523.3,2049696.3,2089050.5,143086394.7,465423725.7,507911910.0,49786.5,177687.0,210136.5
General cargo,1260,632,10149.4,14332.3,2002.2,2003.8,2003.6,2004.0,805.6,1290.1,1537.7,1513.2,98.0,161.0,420.6,403.6,47.0,81.6,151.0,153.5,2135.7,163024.0,166154.1,16867854.9,51174580.9,72363593.7,13387.2,55173.1,73153.4
Bulk carrier,993,803,57621.8,98786.8,2009.0,2009.7,2010.7,2010.7,1530.5,2090.6,2185.6,2201.3,178.0,222.8,354.5,353.9,116.0,169.0,185.5,182.4,5875.5,452967.7,461664.7,34902195.5,82685138.7,107421910.5,35148.2,134648.5,163797.5
Chemical tanker,887,405,16874.7,27378.9,2007.4,2008.1,2010.0,2010.0,834.4,1655.0,1807.9,1843.8,84.0,149.5,308.1,310.1,55.0,102.1,126.0,126.7,3940.9,302438.9,308245.7,13250311.4,56796483.5,67693831.9,14938.3,73470.3,90588.0
Vehicle,503,131,26434.9,9111.4,2004.3,2007.0,2004.2,2003.8,751.9,1498.9,1237.1,1295.1,55.0,113.6,309.8,297.5,11.0,11.1,13.8,13.8,2022.4,156188.2,159187.0,9226474.4,40678859.2,47110264.9,18342.9,69721.3,75035.4
Ro-Ro,488,36,10333.4,5073.3,2000.5,2003.6,2008.7,2007.6,126.8,1139.0,975.5,875.2,10.0,100.6,161.6,171.7,3.0,18.6,20.3,24.0,1124.2,86824.6,88491.6,5592220.6,11521147.1,12323487.7,11459.5,26972.2,29009.0
Ferry-RoPax,323,21,5186.6,914.1,1996.2,1993.5,1995.3,1995.4,530.2,2436.6,565.1,530.0,28.0,452.1,217.0,129.1,4.0,8.1,8.3,7.9,1193.9,91710.0,93470.8,5679258.5,14044356.9,17232516.1,17582.8,37532.4,34184.1
Liquefied gas tanker,301,103,10714.2,12137.3,2009.2,2010.0,2011.0,2010.9,1120.2,2012.8,2085.1,2068.1,97.0,156.2,254.8,256.1,47.0,63.6,75.7,77.1,1781.2,136965.5,139595.2,5559105.5,23468549.5,22583627.5,18468.8,118947.3,167513.8
Oil tanker,220,96,8211.6,14560.4,2007.4,2008.3,2010.9,2011.1,636.7,1604.2,1855.5,1913.8,93.0,160.0,400.1,408.5,49.0,75.6,74.9,73.6,1208.3,92609.6,94387.7,8972470.1,15557355.9,17844033.0,40784.0,107807.8,134417.8
Cruise,153,55,3663.2,390.8,1996.2,1995.6,2002.1,2000.4,353.5,431.3,438.2,443.4,34.0,32.4,45.3,47.7,12.0,13.1,13.0,13.4,818.9,63403.0,64620.3,1533699.3,7831739.5,9149164.0,10024.2,44654.6,48047.8
Refrigerated bulk,90,43,1036.6,1135.5,2000.7,1994.9,2001.4,2001.4,1292.3,1556.7,1318.5,1311.4,78.5,173.4,220.1,220.8,42.0,94.5,59.2,59.6,593.8,45144.3,46011.1,3368613.7,7360584.5,8291006.2,37429.0,79760.9,86117.8
Miscellaneous - fishing,46,31,950.2,484.7,1986.6,1987.1,1990.5,1991.2,593.8,4088.8,7102.1,5789.9,36.0,507.0,2317.9,2205.9,64.5,296.9,266.1,249.0,210.9,15862.2,16166.8,3408487.6,7560682.6,8595730.4,74097.6,174385.2,206723.1
Service - other,44,28,185.3,140.4,2000.9,2000.8,1998.9,1999.5,707.6,1728.6,1463.0,1069.7,70.5,565.4,756.1,720.7,47.5,358.3,170.8,170.5,101.4,7622.1,7768.5,979486.2,2009690.7,2165563.5,22261.1,49534.6,55931.6
Service - tug,38,28,19.0,14.6,1996.9,1996.8,1998.4,1995.1,618.4,1087.1,1085.6,1132.0,141.5,421.2,495.3,566.0,56.5,108.9,93.0,89.3,47.6,3573.6,3642.2,374361.6,885252.4,1185305.1,9851.6,25438.7,34346.5
