Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,546,173,2812.3,3871.2,2000.2,2002.6,2004.5,2004.4,1066.1,1338.5,1219.0,1233.8,100.0,143.0,143.7,147.5,30.0,43.4,51.6,51.7,826.0,62856.3,64063.1,6273009.1,18538799.1,26097603.7,11489.0,44290.1,58777.4
Container,285,20,3051.5,3535.6,2005.4,2005.4,2006.0,2006.3,1220.7,1112.3,1033.6,1025.6,92.0,91.0,100.0,99.8,18.0,31.9,31.0,31.0,925.0,70591.5,71946.9,6326485.9,17546228.3,19863440.8,22198.2,63523.9,73082.3
Miscellaneous - fishing,266,166,1237.3,781.2,1998.5,1997.6,2001.8,2002.0,1125.5,2159.4,2119.6,1818.7,140.5,347.1,851.9,725.4,35.0,185.6,409.6,359.7,527.9,39705.3,40467.7,5493904.3,12186538.8,13854860.6,20653.8,48607.7,57621.5
Cruise,134,76,5273.2,592.0,1992.7,1993.8,2000.2,1996.5,921.6,1158.2,882.6,895.4,64.0,130.2,71.3,84.8,9.5,13.5,15.0,14.6,1301.7,100116.2,102038.5,2431352.1,12385773.0,15432320.9,18144.4,81483.7,93731.3
Chemical tanker,88,29,1356.9,2131.9,2003.2,2003.8,2009.7,2010.0,921.2,1684.6,1695.4,1800.9,98.0,146.6,236.9,247.2,13.0,20.6,30.9,32.3,266.3,20422.1,20814.2,1480898.5,5323735.4,6352771.6,16828.4,69090.0,84137.5
Bulk carrier,74,42,3963.5,6624.3,2006.1,2008.9,2011.5,2011.6,1613.5,3431.7,3528.6,3606.1,174.0,334.4,517.9,529.7,48.5,156.4,175.6,175.9,418.8,32333.4,32954.2,2795344.4,6522737.0,8270342.2,37774.9,137211.6,167073.7
Refrigerated bulk,69,23,255.8,256.7,1989.0,1991.6,1991.0,1991.8,1087.3,1048.2,1072.8,1073.2,105.0,98.5,113.1,112.7,29.0,62.4,77.3,84.1,179.1,13519.0,13778.5,761392.7,1663680.0,1873979.1,11034.7,23514.8,25388.9
Ferry-RoPax,52,3,623.4,105.8,2003.0,2002.7,2003.1,2002.9,287.2,1065.6,343.7,343.2,20.0,67.0,28.3,27.6,33.0,36.7,21.7,22.5,128.7,9829.6,10018.3,657072.4,1624888.0,1993748.0,12636.0,26972.8,24566.6
Vehicle,48,1,994.3,399.7,1996.0,1996.0,1996.0,1996.0,1213.8,1213.8,1091.5,1091.5,78.5,78.5,75.2,75.2,16.0,16.0,16.3,16.3,205.0,15650.6,15951.1,404728.9,1784420.5,2066540.8,8431.9,32049.5,34492.3
Service - other,17,13,175.0,62.4,1998.6,2001.4,1997.6,1997.8,1225.3,2273.0,3123.3,2804.5,147.0,386.1,839.4,798.0,38.0,94.6,193.7,253.2,42.2,3166.2,3227.0,435316.6,893174.0,962449.1,25606.9,56979.6,64338.0
Oil tanker,11,8,879.3,1490.1,2005.3,2003.6,2012.0,2012.1,1415.0,2337.3,4125.7,4234.2,138.0,211.6,554.6,560.4,39.0,115.8,257.6,261.5,96.2,7413.6,7556.0,1059096.0,2059740.3,2333664.2,96281.5,256319.9,313092.2
Ro-Ro,11,2,36.5,35.0,1980.7,1980.5,1980.7,1980.7,965.1,829.9,718.4,717.9,67.0,61.0,66.9,66.9,7.0,9.2,6.9,7.0,14.2,1073.9,1094.5,126946.4,978708.6,461843.5,11540.6,28163.9,40148.7
Service - tug,5,5,1.4,1.0,1989.8,1989.8,1996.5,1997.3,627.9,1101.8,1015.6,1044.2,135.0,917.8,1654.9,1744.7,42.0,65.8,46.4,48.5,7.3,545.0,555.5,24925.6,58941.6,78919.7,4985.1,12872.5,17380.1
Ferry-pax only,2,2,16.2,2.4,1990.5,1990.5,1989.8,1989.4,2316.5,2316.5,2403.3,2479.0,289.5,289.5,306.6,317.2,6.0,6.0,5.6,5.3,6.7,502.4,512.0,66095.4,186148.6,241122.3,33047.7,92189.0,121990.0
