Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nukunomu,51,4,1.6,1.0,2015.5,2011.8,2015.6,2016.1,63.9,68.5,65.9,63.1,10.0,16.2,16.5,15.1,3.0,7.1,3.9,5.0,3.4,252.3,257.2,4411.9,22893.2,16055.0,86.5,231.5,326.7
Atafu,45,5,2.4,1.5,2014.9,2006.8,2012.3,2008.2,96.5,105.9,102.5,102.7,19.0,29.2,21.8,25.9,2.0,5.8,5.1,5.2,3.4,253.3,258.1,5254.4,22683.4,20479.7,116.8,344.9,492.8
Fakaofo,35,3,1.5,0.9,2016.1,2015.3,2015.8,2016.3,80.3,88.7,87.4,80.4,18.0,16.7,20.8,19.0,2.0,2.2,2.6,3.3,2.5,191.0,194.7,2947.9,16836.6,11314.5,84.2,234.0,335.1
