Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-RoPax,476,3,306.1,85.3,1969.4,1974.0,1969.8,1971.5,124.1,152.7,151.7,169.4,12.0,16.8,41.8,51.1,13.0,12.3,37.5,44.3,212.0,15914.4,16219.9,1176514.7,2665277.6,3445338.2,2471.7,5438.3,6856.1
Cruise,241,24,547.7,67.3,1997.0,1998.9,1997.9,1997.5,136.3,170.3,167.2,166.2,27.0,17.8,22.0,30.7,15.0,10.9,16.2,25.1,382.5,28989.8,29546.4,280024.9,1353036.3,1973692.5,1161.9,5249.9,7180.8
Container,160,25,302.5,388.3,2004.2,2006.6,2005.3,2005.0,132.3,130.4,142.2,140.7,12.0,16.5,46.7,42.7,28.0,28.9,30.6,30.6,107.9,8218.0,8375.8,544109.3,1670589.8,1889825.0,3400.7,10890.7,12762.9
Ro-Ro,124,3,25.5,25.9,2011.8,2008.0,2013.3,2013.0,138.9,145.5,433.6,459.8,23.0,94.2,375.9,387.1,18.0,45.7,570.7,582.1,148.0,11113.2,11326.6,94114.6,725587.9,342398.2,759.0,1852.3,2640.5
Chemical tanker,91,18,166.7,266.6,2009.1,2011.4,2010.7,2010.8,222.7,174.4,179.1,177.3,24.0,18.8,37.3,35.3,35.0,46.2,51.4,51.9,106.7,8111.8,8267.6,244814.4,822114.4,998382.2,2690.3,10500.1,13005.6
General cargo,58,11,86.3,96.5,2004.1,2004.0,2003.8,2003.5,120.0,127.9,127.3,126.7,12.0,13.5,13.5,13.5,18.0,26.6,22.0,21.7,19.8,1513.7,1542.7,71111.7,227769.8,323661.5,1226.1,5819.7,7629.2
Service - other,38,3,31.5,7.2,2013.9,2011.3,2010.8,2013.3,306.8,3553.9,1492.7,507.0,77.5,235.5,460.1,325.5,34.5,253.2,454.8,257.0,38.5,2888.0,2943.4,50554.1,103726.0,111771.0,1330.4,2960.3,3342.6
Liquefied gas tanker,28,3,44.9,44.4,2011.2,2007.3,2011.8,2011.8,294.1,179.0,327.1,326.4,24.0,18.5,26.9,26.9,14.5,18.0,21.4,21.4,16.4,1252.5,1276.6,33524.9,97127.1,107259.4,1197.3,6555.3,8620.3
Service - tug,17,3,5.6,8.1,1984.8,1986.0,1996.8,2001.1,182.5,404.9,1114.8,1446.7,74.0,304.0,970.1,620.9,70.0,71.7,441.0,520.7,9.8,734.4,748.5,207161.4,489874.4,655915.3,12186.0,31466.4,42484.9
Miscellaneous - fishing,15,7,19.5,15.3,2009.1,2009.0,2011.1,2012.2,6469.3,7921.5,6789.3,9497.9,57.0,456.1,752.6,522.3,33.0,1181.4,1760.8,2396.8,43.7,3280.1,3343.0,107814.4,239153.1,271892.9,7187.6,16915.7,20052.6
Oil tanker,10,7,41.1,64.3,2007.0,2007.3,2006.9,2006.9,132.2,137.3,139.9,140.0,16.0,52.9,45.4,45.1,36.0,42.7,42.3,42.7,30.9,2395.6,2441.6,57363.5,137751.8,155395.9,5736.4,17455.9,20413.8
Bulk carrier,8,8,31.7,51.3,2006.4,2006.4,2004.2,2003.7,142.9,164.6,155.7,159.3,13.5,99.1,153.4,168.2,92.0,120.6,110.7,108.9,8.5,651.2,663.7,19228.5,46295.3,63075.1,2403.6,9495.9,11701.1
Vehicle,1,1,4.7,1.6,2009.0,2009.0,2009.0,2009.0,89.9,89.9,89.9,89.9,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,0.4,29.5,30.1,1581.8,6974.1,8076.8,1581.8,6012.5,6470.8
