Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,73,15,166.2,301.0,1991.6,2003.9,2002.5,2002.7,121.4,218.3,261.6,265.9,74.0,70.2,125.9,122.3,19.0,40.7,78.5,77.8,163.0,12290.8,12526.8,297215.5,299522.0,345038.3,4071.4,10776.2,13469.1
General cargo,62,47,124.4,176.6,1988.5,1988.9,1991.8,1991.2,127.1,343.1,512.6,515.6,18.0,25.8,50.5,54.4,19.5,33.1,68.6,71.4,27.6,2117.8,2158.4,208121.1,630653.5,886474.5,3356.8,14030.1,18323.4
Liquefied gas tanker,48,16,221.5,259.6,1997.8,1998.9,1995.7,1995.6,140.3,193.3,524.6,531.9,45.0,75.5,330.1,331.3,11.0,22.8,18.7,18.2,65.0,4978.9,5074.5,167912.5,543753.8,574846.6,3498.2,20083.7,26974.2
Chemical tanker,27,18,162.7,246.9,2006.1,2006.7,2006.2,2006.2,148.6,480.3,421.0,409.6,36.0,70.9,191.2,189.4,19.0,26.0,76.0,76.5,44.9,3452.0,3518.3,158195.0,587861.0,701352.7,5859.1,24688.3,30096.0
Service - tug,26,12,7.0,4.2,2005.4,2002.2,2009.3,2005.4,137.7,426.5,361.4,274.2,101.0,563.2,2580.1,2040.5,23.5,134.1,152.9,167.9,25.9,1946.0,1983.3,107563.8,254356.1,340569.1,4137.1,10682.7,14423.4
Miscellaneous - fishing,24,2,3.3,1.9,1992.2,1998.0,1992.4,1992.5,545.6,572.5,1164.7,1161.9,82.0,95.8,186.1,185.9,27.5,20.0,444.1,442.9,9.5,717.0,730.7,13069.5,28990.6,32959.4,544.6,1281.6,1519.3
Bulk carrier,21,15,177.5,289.4,1990.4,1992.9,1992.4,1992.6,429.2,777.0,720.6,716.5,26.0,64.6,161.4,159.6,20.0,29.7,62.6,63.0,25.0,1930.9,1968.0,177934.1,456082.4,650142.2,8473.1,33932.5,43459.4
Service - other,15,2,3.7,3.4,1962.8,1956.5,1964.4,1964.0,354.6,385.6,454.0,455.3,108.0,462.8,431.6,454.9,22.0,257.2,145.5,156.2,18.0,1351.2,1377.2,23874.0,48984.1,52783.4,1591.6,3541.6,3998.9
Container,8,6,40.9,48.0,2002.0,2001.3,1999.9,2000.9,266.5,287.4,294.4,293.6,14.5,20.0,30.0,30.3,8.0,10.8,10.8,10.7,6.6,510.3,520.1,46503.5,158540.5,180197.7,5812.9,21332.6,25582.1
Ro-Ro,7,2,3.9,2.9,1977.9,1977.0,1978.4,1977.9,107.8,109.4,125.1,123.0,11.0,15.5,16.2,16.8,13.0,20.5,27.7,27.7,3.6,269.8,275.0,10575.3,81531.2,38473.8,1510.8,3686.9,5255.8
Cruise,3,2,9.2,1.4,2005.7,2005.0,2003.1,2003.1,71.3,89.9,122.5,122.7,10.0,11.0,13.8,13.8,10.0,14.5,10.5,10.5,3.8,294.3,299.9,8868.9,31324.3,31425.8,2956.3,9335.4,8789.6
Ferry-pax only,1,1,1.9,0.5,1992.0,1992.0,1992.0,1992.0,6094.0,6094.0,6094.0,6094.0,175.0,175.0,175.0,175.0,421.0,421.0,421.0,421.0,2.9,217.9,222.1,38605.6,78624.0,99041.9,38605.6,89775.6,118353.9
Refrigerated bulk,1,1,0.1,0.2,1979.0,1979.0,1979.0,1979.0,58.1,58.1,58.1,58.1,96.0,96.0,96.0,96.0,68.0,68.0,68.0,68.0,2.4,177.2,180.6,466.0,1018.2,1146.9,466.0,993.0,1072.2
