Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,168,8,2055.8,3831.8,1999.8,2003.1,2005.2,2005.3,211.3,413.5,850.4,878.4,22.0,55.0,444.4,451.6,33.0,39.8,196.4,184.2,544.5,41619.0,42418.1,2247268.9,3387112.8,3802454.5,13376.6,36418.7,45232.0
Service - tug,157,20,33.7,26.3,1987.9,1994.2,2005.2,2004.0,171.8,806.1,475.7,422.6,106.0,510.1,926.4,925.7,70.0,135.0,291.8,261.5,101.5,7623.3,7769.6,672202.4,1589556.2,2128329.9,4281.5,11055.7,14927.1
Chemical tanker,117,32,382.6,599.7,2005.8,2008.8,2007.0,2007.0,283.3,283.1,300.8,294.9,31.0,62.4,193.0,181.8,31.0,49.5,102.1,102.2,286.5,21662.9,22078.9,600668.5,1858188.6,2219069.0,5133.9,17893.6,21464.4
Ro-Ro,108,2,143.2,146.6,1991.1,1999.0,1991.0,1991.0,161.2,117.3,176.8,176.8,16.0,12.5,21.9,21.9,10.0,18.0,10.7,10.7,42.7,3305.6,3369.1,157465.6,290698.4,338444.4,1458.0,3426.9,3638.5
Liquefied gas tanker,106,7,827.9,781.6,2011.0,2004.7,2012.3,2012.1,495.3,446.1,813.9,790.5,32.0,23.7,79.0,77.7,37.0,40.8,70.7,69.7,201.8,12980.0,13229.3,589954.1,1709193.3,1887496.8,5565.6,30471.5,40070.7
Container,46,9,115.0,143.3,2006.9,2003.9,2005.7,2005.6,169.1,526.7,297.5,307.8,14.0,47.9,50.0,52.4,10.0,18.4,17.0,16.9,32.6,2500.2,2548.2,213011.3,620332.0,702915.8,4630.7,14081.0,16383.6
General cargo,33,12,42.8,52.0,2004.5,2005.9,2004.8,2005.7,163.5,189.0,185.0,184.0,17.0,30.8,31.2,29.9,21.0,49.3,96.7,81.8,13.9,1057.4,1077.7,77915.6,231281.7,323518.1,2361.1,9407.2,12245.0
Service - other,26,6,35.8,45.0,1990.6,1998.0,1988.9,1989.1,464.1,1923.9,1148.1,1199.9,111.0,409.3,713.8,914.5,44.5,71.8,911.2,449.8,64.2,4821.3,4913.8,314233.2,644737.6,694743.8,12085.9,26893.1,30366.2
Bulk carrier,24,18,489.8,916.9,2008.7,2010.1,1999.0,1998.7,171.7,379.3,712.7,772.2,26.5,43.3,131.5,133.2,25.0,64.8,421.5,430.0,42.3,3272.9,3335.7,215088.7,591604.6,699361.0,8962.0,38782.4,47289.0
Cruise,22,9,170.6,15.4,2004.0,1992.7,2008.4,2007.1,102.2,135.6,104.9,106.6,12.0,17.0,12.0,12.1,14.0,9.4,12.6,12.3,55.5,4295.9,4378.4,89533.1,326405.8,328234.0,4069.7,13229.9,12486.5
