Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,4852,747,215978.9,237552.9,2006.1,2008.2,2009.8,2009.5,297.4,763.4,830.6,823.1,30.0,58.8,248.9,240.5,18.0,23.8,25.1,25.0,26895.2,2057223.9,2096722.6,143481285.5,413062535.5,465098280.0,29571.6,97635.8,115203.0
Chemical tanker,4472,1135,48554.5,77819.5,2006.3,2008.1,2009.2,2009.2,333.7,1000.1,1031.1,1052.1,54.0,109.3,259.7,263.3,25.0,46.1,60.3,61.1,11954.9,909075.2,926529.4,36268929.1,157342049.1,186623769.8,8110.2,40539.2,49799.3
General cargo,4084,1496,23439.6,32442.3,2002.7,2003.7,2004.8,2004.6,467.1,894.0,1105.2,1097.0,61.0,100.2,284.1,277.3,27.0,50.2,61.4,61.9,5071.1,385351.9,392750.7,33897635.1,104267985.6,149284029.7,8300.1,34337.5,46752.9
Ro-Ro,3537,93,45519.8,22302.3,2004.0,2006.3,2007.9,2007.6,203.4,600.9,421.3,445.8,14.0,44.9,53.0,56.1,6.0,12.1,15.8,16.5,7782.2,586692.2,597956.7,23990669.6,44615914.7,51646601.3,6782.8,15943.8,16942.1
Vehicle,2428,468,82116.2,27243.4,2003.9,2007.0,2006.7,2006.5,318.2,775.9,813.6,792.6,30.0,62.9,217.9,219.2,14.0,21.9,22.1,22.3,6256.5,476715.7,485868.6,27587516.7,121631368.7,140861521.6,11362.2,43187.9,46479.6
Liquefied gas tanker,1239,244,31441.2,28500.5,2007.6,2008.7,2011.5,2011.3,467.8,1568.7,1990.8,1828.5,50.0,136.2,376.8,368.7,24.0,44.4,51.5,52.7,5011.2,348624.6,355318.2,11308992.1,53656051.5,49599270.1,9127.5,60710.7,86919.8
Bulk carrier,829,657,42557.0,72730.9,2009.1,2009.8,2010.4,2010.4,1258.5,1825.7,1846.1,1855.2,124.0,194.7,331.2,330.5,69.0,96.8,107.1,107.6,3942.7,301600.6,307391.4,24090267.7,57491597.0,73663133.5,29059.4,111541.5,135440.3
Service - tug,652,96,53.1,36.6,1999.5,2002.8,2000.6,2000.4,89.0,288.5,223.0,230.3,35.0,168.8,246.1,208.1,20.0,71.8,93.8,96.3,143.9,10802.1,11009.5,937162.9,2216108.2,2967249.1,1437.4,3711.5,5011.2
Oil tanker,609,298,39948.2,70514.5,2007.6,2008.9,2009.3,2009.3,527.3,2250.9,2131.6,2144.6,74.0,216.8,359.2,359.5,30.0,93.8,114.9,114.6,5244.8,401441.0,409148.7,46536009.0,87833866.2,104835258.1,76413.8,192509.9,237678.8
Service - other,528,98,1073.5,1568.4,1997.2,2002.0,2001.2,2000.7,189.8,862.9,499.3,484.2,25.0,376.0,469.2,407.8,6.0,146.2,122.0,102.1,456.5,34141.5,34797.0,10944430.0,22455567.6,24197233.9,20728.1,46123.5,52079.9
Miscellaneous - fishing,251,59,66.4,40.9,1993.6,1992.0,1991.6,1991.6,363.9,805.4,496.7,578.6,47.0,101.9,220.9,229.3,46.0,131.7,269.5,281.5,122.8,9223.5,9400.6,287346.1,637389.1,724646.9,1144.8,2694.2,3193.9
Cruise,194,67,3538.8,339.8,2003.2,2000.6,2007.1,2005.5,177.1,233.1,237.7,247.1,15.0,20.4,26.4,27.9,10.5,12.8,13.0,12.5,884.6,66843.2,68126.6,586956.7,5330161.5,6839413.4,3025.5,24042.6,29098.4
Ferry-RoPax,175,4,1159.6,230.6,1987.3,1998.2,1987.5,1987.2,206.4,566.7,209.9,208.3,15.0,32.5,15.5,15.4,10.0,18.8,10.3,10.2,265.3,19919.9,20302.3,1433578.2,3544816.6,4349734.1,8191.9,17486.9,15933.5
Refrigerated bulk,71,25,3107.4,3085.3,1994.8,1995.6,1994.5,1994.5,3908.7,4201.8,4066.3,4041.1,216.0,281.3,444.1,447.4,6.0,38.4,25.2,25.8,1256.6,95870.9,97711.7,9152947.5,19999634.9,22527707.8,128914.8,274715.9,296610.6
Other liquids tankers,31,5,2445.8,3177.3,1994.5,1996.0,1999.3,1999.3,5289.6,4031.4,4736.3,4683.8,272.0,231.1,301.0,300.7,76.0,76.6,106.7,106.7,639.4,49366.6,50314.4,1629787.0,4653539.5,10033029.7,52573.8,182135.5,294311.8
Ferry-pax only,6,4,0.4,0.2,1949.0,1951.2,1972.5,1940.7,285.3,242.7,251.1,242.1,64.0,61.4,63.5,78.1,63.5,77.2,53.0,44.7,1.4,105.5,107.6,13825.8,28157.5,35469.8,2304.3,5358.5,7064.3
