Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,6702,1799,1179158.4,2224725.7,2005.9,2007.4,2008.1,2008.1,622.0,1935.8,2034.3,2036.6,76.0,207.0,514.6,516.6,46.0,72.5,100.9,100.8,92640.7,7170482.9,7308156.2,745989163.1,1352534585.8,1490370270.7,111308.4,290883.3,361886.5
Container,4181,624,432089.4,464908.7,2005.3,2007.2,2010.0,2009.8,765.9,1689.4,1745.6,1687.2,58.0,113.6,207.8,204.3,21.0,26.4,28.3,28.4,39697.5,3073313.8,3132321.5,235865098.6,697367773.7,770942021.1,56413.6,191417.7,227008.6
Bulk carrier,3928,1813,358726.4,645972.5,2007.2,2009.3,2009.7,2009.7,1014.3,2972.3,2690.2,2733.2,201.0,295.1,527.7,533.1,94.0,123.4,126.4,126.1,29162.9,2258031.3,2301385.5,192567744.1,448251454.3,545751729.3,49024.4,179237.4,214485.2
Chemical tanker,2942,898,94925.8,154455.2,2007.6,2008.3,2008.1,2008.1,780.9,1497.7,1639.1,1642.4,91.0,157.4,343.1,343.8,44.0,65.7,72.4,72.2,16685.1,1287707.1,1312431.1,55336097.2,269790762.4,314403987.2,18809.0,105939.1,128679.2
Service - tug,2182,465,668.6,579.8,2005.1,2006.1,2006.2,2005.4,194.2,699.5,363.5,362.7,45.0,234.2,455.0,445.7,20.0,124.6,199.2,195.4,850.6,63927.9,65155.3,14830077.9,35068669.9,46955053.6,6796.6,17549.9,23695.4
General cargo,2072,568,33104.8,43720.0,1999.4,2002.3,2003.5,2004.3,503.9,1726.4,1796.7,1730.3,64.0,183.5,432.3,427.5,42.0,90.6,103.4,102.8,5458.6,419000.5,427045.3,24327692.4,81725728.5,118483435.8,11741.2,59922.3,80911.4
Liquefied gas tanker,1292,376,173353.4,161359.2,2005.8,2008.2,2004.7,2005.7,1333.7,2786.3,3147.2,2936.9,144.0,224.9,402.5,394.0,37.0,56.9,44.5,49.0,22091.0,1518942.8,1548106.6,46749612.9,288716449.4,250028098.1,36183.9,288983.0,435428.4
Ro-Ro,1122,99,6542.3,4451.1,2006.2,2004.2,2003.5,2003.4,162.2,1266.1,1626.0,1409.1,17.0,154.6,889.9,890.4,26.0,74.0,43.6,48.8,1663.6,126860.4,129296.1,5684248.0,18022925.7,14128981.5,5066.2,12010.6,13768.2
Vehicle,420,213,18535.0,6184.5,2006.5,2007.6,2008.8,2008.4,347.6,667.6,793.3,788.3,34.0,51.2,169.6,169.1,9.0,11.9,21.8,21.8,1109.6,85905.7,87555.0,6262642.3,27611537.7,31976974.7,14911.1,56676.9,60996.8
Ferry-RoPax,278,13,380.9,104.9,1995.4,2000.8,1996.0,1995.1,252.5,2658.4,354.5,392.3,15.0,174.4,207.9,404.5,19.0,154.0,191.9,150.2,392.8,29531.0,30098.0,1649464.4,3702042.3,4812658.1,5933.3,13094.3,16956.6
Service - other,155,77,518.6,559.4,2005.1,2005.3,2000.7,1998.5,310.5,950.7,1084.1,1323.8,50.0,387.4,2172.1,2475.0,36.0,273.8,86.7,73.0,279.8,21060.8,21465.2,3903886.5,8009918.0,8631171.7,25186.4,56043.9,63281.5
Cruise,119,36,6540.3,683.1,2008.3,2003.3,2007.2,2006.3,327.5,935.6,621.5,680.1,21.0,57.1,175.7,167.1,10.0,11.1,11.3,11.3,1463.6,113370.9,115547.6,1796171.8,11308103.7,13251762.8,15093.9,83620.2,92654.9
Refrigerated bulk,56,10,2228.7,2131.3,2005.2,1998.9,2005.9,2005.7,3977.2,3041.0,3014.1,3030.8,261.0,343.5,318.4,323.1,14.0,406.2,87.0,87.7,844.6,64472.3,65710.2,6322874.3,13815787.5,15562185.3,112908.5,240606.7,259782.9
Ferry-pax only,20,3,3.3,0.3,2002.9,1997.3,1999.9,1997.3,141.7,267.8,311.4,325.5,46.5,285.7,460.9,477.8,1.0,16.3,14.2,16.0,6.8,508.4,518.2,26137.7,53231.9,67055.7,1306.9,3039.1,4006.5
Miscellaneous - fishing,18,6,117.6,92.3,1979.9,1979.7,1996.3,1996.9,46.2,10523.7,5915.6,4319.0,21.0,945.7,1797.8,1752.4,9.0,356.7,140.4,138.1,74.7,5604.9,5712.5,649012.9,1439635.8,1636720.1,36056.3,84856.8,100592.6
Other liquids tankers,5,2,0.2,0.5,1964.0,1969.0,1958.0,1954.8,84.9,112.8,101.3,103.4,18.0,31.8,25.7,23.6,5.0,6.8,8.5,9.1,0.8,58.7,59.8,239.5,683.8,1474.3,47.9,165.9,268.1
