Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,521,117,37230.8,45411.7,2003.0,2003.8,2004.7,2004.7,2489.5,2376.7,2285.2,2269.4,177.0,184.1,229.9,230.2,50.0,53.8,56.7,56.3,5703.3,441391.5,449866.2,37006725.4,111517097.6,123990442.5,71030.2,227920.5,265641.6
Bulk carrier,252,232,24692.2,42899.1,2009.8,2009.8,2010.2,2010.2,2941.6,3313.7,3321.2,3326.7,307.5,335.2,420.0,420.5,124.0,137.1,139.5,139.6,2244.5,173775.4,177111.9,16528995.9,35916361.2,45275730.3,65591.3,229940.1,273386.6
Vehicle,156,106,17296.2,5779.1,2007.9,2007.8,2009.4,2009.3,2566.6,1915.8,1930.5,1939.6,151.0,126.0,211.0,211.8,19.0,21.7,26.9,27.3,1171.5,90744.8,92487.1,5852096.3,25801470.1,29880732.1,37513.4,142588.6,153456.6
General cargo,111,78,4166.1,5580.1,2006.2,2006.8,2006.6,2007.2,2549.3,2669.9,2858.9,2828.2,242.0,285.9,369.1,362.4,59.0,108.0,96.0,96.6,629.6,48438.2,49368.2,2933639.9,9956642.4,14436348.8,26429.2,138475.6,186258.2
Oil tanker,87,69,13322.9,23232.2,2008.8,2009.2,2011.6,2011.6,3082.4,3240.2,3287.1,3282.0,282.0,327.5,375.1,374.6,87.0,105.7,96.9,96.6,1349.2,104455.9,106461.5,14776514.9,28265651.2,33652549.7,169845.0,417188.0,518475.8
Chemical tanker,83,56,6620.5,10807.1,2006.1,2007.4,2006.5,2006.6,2915.9,2821.7,3049.1,3045.6,282.0,275.6,366.1,367.8,93.0,86.4,110.2,110.4,962.6,74537.4,75968.5,2265500.3,15625175.6,18035380.1,27295.2,221438.2,271760.7
Ro-Ro,56,9,2521.1,2215.5,2002.4,2003.9,2010.9,2011.3,421.4,1888.8,1334.0,1309.9,95.0,169.2,172.9,162.1,50.5,103.7,51.9,53.1,345.3,26667.2,27179.2,2421191.8,4818348.2,5292425.1,43235.6,101717.3,108939.7
Liquefied gas tanker,26,8,843.6,957.8,2013.1,2011.1,2014.6,2014.5,1633.4,2708.5,2329.2,2342.8,162.5,394.2,309.5,318.2,62.0,125.8,87.5,85.3,208.7,15939.6,16245.7,722958.2,2094527.7,2313029.4,27806.1,152237.2,200195.6
Service - tug,10,6,17.2,12.8,2001.4,2001.0,2007.1,2006.6,807.5,2491.8,2731.4,2532.2,239.0,359.8,399.7,383.0,165.0,601.4,376.0,380.7,31.2,2339.2,2384.1,327535.6,774523.1,1037044.5,32753.6,84575.6,114191.4
Service - other,5,5,18.6,9.7,1995.8,1995.8,1984.1,1983.6,656.6,1237.3,2254.9,2355.5,190.0,317.0,251.2,254.2,151.0,243.4,126.1,118.7,9.5,714.3,728.0,67680.2,138864.9,149635.4,13536.0,30120.0,34009.7
Cruise,4,3,45.4,4.4,2001.8,2002.3,2000.9,2001.0,160.5,289.8,348.1,351.6,15.5,22.7,47.3,47.5,10.0,18.0,13.0,13.0,16.3,1262.7,1287.0,11490.3,95106.2,126830.7,2872.6,19838.9,23585.7
Miscellaneous - fishing,3,3,3.2,1.5,1983.3,1983.3,1982.0,1981.0,1885.0,1858.5,2278.7,1898.4,251.0,264.3,395.9,371.7,27.0,73.3,92.7,104.1,3.8,283.7,289.1,10750.3,23846.2,27110.7,3583.4,8433.4,9997.3
Ferry-RoPax,2,2,0.3,0.2,2013.5,2013.5,2014.1,2013.8,130.2,130.2,131.1,130.6,25.5,25.5,23.8,24.6,593.5,593.5,606.6,600.5,5.2,394.1,401.7,6711.7,14520.4,19305.7,3355.9,7492.0,10676.6
